t,breath,hr,eda
0.00,-0.0013,64.36,4.2042
0.10,0.0034,64.43,4.1927
0.20,0.0294,65.40,4.2037
0.30,0.0315,64.94,4.2035
0.40,0.0243,65.33,4.2073
0.50,0.0693,63.96,4.1870
0.60,0.0749,65.64,4.1969
0.70,0.1102,65.25,4.2049
0.80,0.1424,65.54,4.2040
0.90,0.1899,67.18,4.2054
1.00,0.1948,66.46,4.1951
1.10,0.2360,67.26,4.2061
1.20,0.2689,67.12,4.1935
1.30,0.3275,68.08,4.1948
1.40,0.3579,68.38,4.1894
1.50,0.4095,68.57,4.1853
1.60,0.4342,69.60,4.1950
1.70,0.4770,70.29,4.1899
1.80,0.5281,71.18,4.2093
1.90,0.5667,69.73,4.2028
2.00,0.6115,70.78,4.1970
2.10,0.6299,71.17,4.1942
2.20,0.7005,70.96,4.1858
2.30,0.7266,72.81,4.2137
2.40,0.7380,73.06,4.1821
2.50,0.7871,73.88,4.1934
2.60,0.8422,73.73,4.2037
2.70,0.8649,74.32,4.2153
2.80,0.8940,73.10,4.2070
2.90,0.9285,74.84,4.2103
3.00,0.9117,75.30,4.1977
3.10,0.9329,75.64,4.2014
3.20,0.9549,75.48,4.2159
3.30,0.9814,75.69,4.2057
3.40,0.9938,74.87,4.2123
3.50,0.9930,75.41,4.2116
3.60,0.9894,76.44,4.2109
3.70,0.9931,75.30,4.1924
3.80,0.9915,76.31,4.2011
3.90,0.9723,74.35,4.2137
4.00,0.9631,75.89,4.2087
4.10,0.9673,75.02,4.2065
4.20,0.9400,74.59,4.2085
4.30,0.9196,74.47,4.2085
4.40,0.9005,75.60,4.2086
4.50,0.8676,73.63,4.2007
4.60,0.8332,73.32,4.2116
4.70,0.8053,71.39,4.2190
4.80,0.7523,73.08,4.2064
4.90,0.7319,72.86,4.2011
5.00,0.6940,73.67,4.2004
5.10,0.6552,71.46,4.2002
5.20,0.6074,69.17,4.2043
5.30,0.5626,69.80,4.2129
5.40,0.5256,70.75,4.2126
5.50,0.5020,69.44,4.1914
5.60,0.4378,69.99,4.2101
5.70,0.3679,67.75,4.2139
5.80,0.3673,68.43,4.1934
5.90,0.3334,68.00,4.2042
6.00,0.2899,69.13,4.5087
6.10,0.2396,67.18,4.5263
6.20,0.2188,67.67,4.4990
6.30,0.1831,67.65,4.4998
6.40,0.1254,67.28,4.4828
6.50,0.1038,65.49,4.4835
6.60,0.1049,67.26,4.4946
6.70,0.0558,65.17,4.4856
6.80,0.0567,65.11,4.4954
6.90,0.0499,65.42,4.4876
7.00,-0.0055,65.32,4.4880
7.10,0.0014,65.56,4.4770
7.20,0.0205,65.99,4.4628
7.30,0.0179,65.03,4.4798
7.40,-0.0078,65.24,4.4735
7.50,0.0073,65.01,4.4740
7.60,-0.0136,63.98,4.4568
7.70,0.0354,64.96,4.4597
7.80,0.0405,65.60,4.4611
7.90,0.0749,66.46,4.4513
8.00,0.0983,65.49,4.4621
8.10,0.1154,65.46,4.4316
8.20,0.1086,65.64,4.4526
8.30,0.1619,66.80,4.4400
8.40,0.1872,68.42,4.4409
8.50,0.2293,68.24,4.4408
8.60,0.2628,67.54,4.4241
8.70,0.3162,67.92,4.4186
8.80,0.3549,68.76,4.4357
8.90,0.3930,68.37,4.4283
9.00,0.4060,70.29,4.4196
9.10,0.4600,69.55,4.4152
9.20,0.4906,69.72,4.4192
9.30,0.5555,71.23,4.3990
9.40,0.5852,71.96,4.4001
9.50,0.6307,71.28,4.3956
9.60,0.6776,72.87,4.4076
9.70,0.7220,72.97,4.4144
9.80,0.7664,73.46,4.4123
9.90,0.7610,74.44,4.4121
10.00,0.8160,75.24,4.3991
10.10,0.8298,75.92,4.4045
10.20,0.8685,75.85,4.4042
10.30,0.9043,75.44,4.4012
10.40,0.9180,75.26,4.3940
10.50,0.9590,75.13,4.3925
10.60,0.9538,76.06,4.3880
10.70,0.9808,74.99,4.3821
10.80,1.0218,76.13,4.3962
10.90,0.9654,76.09,4.3902
11.00,1.0199,75.73,4.3868
11.10,1.0056,76.49,4.3660
11.20,0.9993,76.64,4.3741
11.30,1.0097,75.16,4.3667
11.40,0.9806,75.21,4.3776
11.50,0.9511,76.05,4.3914
11.60,0.9309,76.32,4.3619
11.70,0.9363,75.46,4.3856
11.80,0.8902,73.11,4.3714
11.90,0.8651,74.68,4.3672
12.00,0.8361,74.31,4.3650
12.10,0.8176,73.78,4.3695
12.20,0.7752,73.29,4.3691
12.30,0.7333,72.85,4.3562
12.40,0.7042,72.43,4.3609
12.50,0.6686,71.11,4.3570
12.60,0.6312,71.84,4.3650
12.70,0.5827,70.40,4.3586
12.80,0.5205,69.96,4.3540
12.90,0.5100,68.30,4.3434
13.00,0.4466,69.40,4.3632
13.10,0.4008,69.57,4.3430
13.20,0.3820,69.78,4.3491
13.30,0.3442,68.71,4.3461
13.40,0.3164,68.57,4.3527
13.50,0.2459,67.94,4.3424
13.60,0.2193,67.44,4.3507
13.70,0.1998,68.43,4.3391
13.80,0.1719,66.35,4.3378
13.90,0.1588,66.57,4.3355
14.00,0.1127,64.84,4.3370
14.10,0.0792,66.18,4.3385
14.20,0.0655,65.75,4.3345
14.30,0.0448,64.99,4.3347
14.40,0.0209,64.04,4.3373
14.50,0.0051,63.63,4.3307
14.60,-0.0002,64.08,4.3134
14.70,0.0076,64.47,4.3328
14.80,-0.0026,65.78,4.3157
14.90,0.0093,63.90,4.3346
15.00,0.0073,65.13,4.3102
15.10,0.0306,64.65,4.3084
15.20,0.0402,63.55,4.3084
15.30,0.0365,64.02,4.3163
15.40,0.0694,65.66,4.3223
15.50,0.1003,66.27,4.3312
15.60,0.1018,64.99,4.3141
15.70,0.1331,66.05,4.3164
15.80,0.1828,65.51,4.3033
15.90,0.2098,66.52,4.3134
16.00,0.2446,67.61,4.3079
16.10,0.2866,67.05,4.3122
16.20,0.3189,67.25,4.2902
16.30,0.3612,68.51,4.2989
16.40,0.4034,68.64,4.2990
16.50,0.4393,69.69,4.3127
16.60,0.4846,69.62,4.3013
16.70,0.5262,70.38,4.3130
16.80,0.5602,70.37,4.2954
16.90,0.6013,71.00,4.2964
17.00,0.6448,71.88,4.3052
17.10,0.6852,71.72,4.3221
17.20,0.7415,73.14,4.3036
17.30,0.7363,72.93,4.2957
17.40,0.8067,73.36,4.3196
17.50,0.8474,74.15,4.3062
17.60,0.8683,74.17,4.2979
17.70,0.8769,73.40,4.3078
17.80,0.9177,74.22,4.3145
17.90,0.9369,74.63,4.3060
18.00,0.9459,75.22,4.2980
18.10,0.9798,76.21,4.2890
18.20,1.0036,75.30,4.2945
18.30,0.9874,74.71,4.3049
18.40,1.0061,74.78,4.2890
18.50,1.0086,75.27,4.3027
18.60,0.9903,75.22,4.2978
18.70,0.9971,75.99,4.3028
18.80,0.9786,75.10,4.3081
18.90,0.9824,74.93,4.2840
19.00,0.9367,75.74,4.3027
19.10,0.9246,73.44,4.2757
19.20,0.9317,74.29,4.2834
19.30,0.8894,73.30,4.2854
19.40,0.8662,73.71,4.2742
19.50,0.8398,73.26,4.2888
19.60,0.7930,72.73,4.2857
19.70,0.7884,72.60,4.2899
19.80,0.7277,71.62,4.2775
19.90,0.6913,72.22,4.2848
20.00,0.6631,70.93,4.2987
20.10,0.6162,69.67,4.3036
20.20,0.5686,70.63,4.2820
20.30,0.5381,70.31,4.2781
20.40,0.4920,68.27,4.2856
20.50,0.4390,68.40,4.2788
20.60,0.3956,68.21,4.2833
20.70,0.3750,68.43,4.2837
20.80,0.3336,66.78,4.2763
20.90,0.2885,66.97,4.2802
21.00,0.2505,66.31,4.2820
21.10,0.2239,66.14,4.2904
21.20,0.1846,67.24,4.2738
21.30,0.1554,65.33,4.2816
21.40,0.1227,64.25,4.2739
21.50,0.1140,63.97,4.2806
21.60,0.0824,65.25,4.2719
21.70,0.0575,64.56,4.2604
21.80,0.0539,63.80,4.2673
21.90,0.0057,64.59,4.2617
22.00,0.0317,64.41,4.2744
22.10,0.0311,63.68,4.2663
22.20,0.0069,63.40,4.2744
22.30,-0.0137,64.28,4.2719
22.40,-0.0121,63.76,4.2675
22.50,0.0159,64.15,4.2677
22.60,0.0163,65.29,4.2766
22.70,0.0296,63.93,4.2745
22.80,0.0517,65.70,4.2733
22.90,0.0661,64.99,4.2663
23.00,0.0756,64.63,4.2666
23.10,0.1238,64.00,4.2570
23.20,0.1482,65.30,4.2677
23.30,0.1892,65.60,4.2631
23.40,0.2174,65.91,4.2523
23.50,0.2465,66.65,4.2713
23.60,0.2873,67.38,4.2588
23.70,0.3419,69.24,4.2582
23.80,0.3538,68.14,4.2635
23.90,0.4143,66.99,4.2530
24.00,0.4505,69.34,4.2689
24.10,0.5164,69.54,4.2639
24.20,0.5377,70.98,4.2648
24.30,0.5532,67.86,4.2585
24.40,0.6189,71.36,4.2582
24.50,0.6753,70.98,4.2608
24.60,0.6827,71.14,4.2538
24.70,0.7343,72.04,4.2604
24.80,0.7609,72.74,4.2671
24.90,0.7957,72.66,4.2648
25.00,0.8160,73.45,4.2708
25.10,0.8485,73.69,4.2675
25.20,0.8689,73.98,4.2714
25.30,0.9233,73.91,4.2598
25.40,0.9161,74.28,4.2657
25.50,0.9503,74.52,4.2605
25.60,0.9778,74.61,4.2544
25.70,0.9566,75.24,4.2537
25.80,1.0076,74.78,4.2539
25.90,1.0165,75.44,4.2539
26.00,1.0201,75.81,4.2565
26.10,0.9904,74.88,4.2576
26.20,0.9958,76.56,4.2647
26.30,0.9785,75.14,4.2508
26.40,0.9626,75.07,4.2591
26.50,0.9573,73.42,4.2592
26.60,0.9520,73.82,4.2423
26.70,0.9154,74.67,4.2512
26.80,0.8994,74.19,4.2510
26.90,0.8909,73.77,4.2540
27.00,0.8577,72.29,4.2558
27.10,0.8413,71.45,4.2711
27.20,0.7774,73.14,4.2566
27.30,0.7504,71.34,4.2508
27.40,0.7064,70.90,4.2610
27.50,0.6543,69.88,4.2524
27.60,0.6238,71.11,4.2488
27.70,0.5779,70.07,4.2451
27.80,0.5446,69.90,4.2466
27.90,0.5127,70.62,4.2612
28.00,0.4528,67.23,4.2481
28.10,0.4437,68.49,4.2455
28.20,0.3865,68.38,4.2402
28.30,0.3401,67.82,4.2363
28.40,0.3160,67.75,4.2358
28.50,0.2668,67.08,4.2543
28.60,0.2442,66.99,4.2486
28.70,0.1897,65.43,4.2560
28.80,0.1616,65.96,4.2638
28.90,0.1315,64.77,4.2407
29.00,0.1088,65.32,4.2572
29.10,0.0886,65.70,4.2491
29.20,0.0563,65.14,4.2449
29.30,0.0434,63.91,4.2469
29.40,0.0244,64.39,4.2540
29.50,0.0011,64.13,4.2522
29.60,-0.0050,63.71,4.2549
29.70,-0.0022,64.77,4.2549
29.80,-0.0083,63.21,4.2519
29.90,0.0294,64.68,4.2443
30.00,-0.0011,65.44,4.2546
30.10,-0.0153,64.33,4.2445
30.20,0.0258,65.61,4.2425
30.30,0.0429,64.87,4.2345
30.40,0.0394,64.06,4.2567
30.50,0.0830,64.78,4.2575
30.60,0.0886,65.78,4.2337
30.70,0.1409,65.85,4.2406
30.80,0.1672,63.98,4.2522
30.90,0.1892,66.42,4.2541
31.00,0.2370,68.91,4.4926
31.10,0.2505,67.53,4.5065
31.20,0.3098,68.70,4.5026
31.30,0.3282,67.94,4.5053
31.40,0.3791,67.62,4.4947
31.50,0.4308,68.78,4.4997
31.60,0.4611,68.92,4.5023
31.70,0.4986,70.42,4.4959
31.80,0.5372,71.36,4.4719
31.90,0.5861,70.73,4.4861
32.00,0.6258,70.65,4.4798
32.10,0.6533,71.36,4.4757
32.20,0.6867,71.28,4.4829
32.30,0.7457,72.84,4.4670
32.40,0.7897,72.46,4.4742
32.50,0.8074,72.12,4.4711
32.60,0.8310,73.34,4.4687
32.70,0.8684,74.51,4.4707
32.80,0.9050,74.06,4.4670
32.90,0.9180,74.29,4.4577
33.00,0.9372,74.50,4.4436
33.10,0.9572,74.91,4.4472
33.20,0.9788,76.53,4.4512
33.30,0.9531,73.92,4.4485
33.40,1.0047,73.53,4.4691
33.50,0.9997,75.12,4.4497
33.60,1.0066,75.94,4.4253
33.70,1.0029,74.90,4.4412
33.80,1.0011,75.41,4.4349
33.90,0.9791,75.13,4.4186
34.00,0.9760,74.40,4.4404
34.10,0.9584,74.94,4.4371
34.20,0.9559,74.00,4.4460
34.30,0.8970,75.46,4.4348
34.40,0.9074,73.69,4.4324
34.50,0.8614,73.19,4.4309
34.60,0.8193,75.24,4.4138
34.70,0.8330,72.63,4.4142
34.80,0.7794,73.69,4.4117
34.90,0.7405,73.29,4.4071
35.00,0.6977,71.95,4.4156
35.10,0.6628,71.05,4.4145
35.20,0.6052,70.20,4.3923
35.30,0.5781,70.68,4.4079
35.40,0.5532,69.63,4.4072
35.50,0.4970,69.61,4.3875
35.60,0.4703,69.18,4.4069
35.70,0.4216,68.82,4.4083
35.80,0.3923,68.51,4.4037
35.90,0.3597,67.66,4.3927
36.00,0.2959,68.57,4.3892
36.10,0.2896,67.46,4.3940
36.20,0.2470,67.51,4.3986
36.30,0.1841,66.61,4.3854
36.40,0.1847,65.33,4.3897
36.50,0.1338,65.00,4.3819
36.60,0.1290,65.31,4.3806
36.70,0.1125,65.25,4.3935
36.80,0.0576,65.91,4.3857
36.90,0.0537,64.63,4.3909
37.00,0.0368,64.68,4.3777
37.10,0.0337,64.19,4.3663
37.20,0.0117,63.91,4.3717
37.30,0.0122,64.49,4.3908
37.40,0.0041,65.36,4.3609
37.50,0.0018,63.23,4.3716
37.60,0.0042,64.10,4.3617
37.70,0.0178,64.32,4.3693
37.80,0.0126,63.78,4.3791
37.90,0.0148,63.84,4.3647
38.00,0.0413,64.76,4.3620
38.10,0.0591,65.77,4.3624
38.20,0.1042,65.10,4.3610
38.30,0.1200,65.79,4.3605
38.40,0.1482,65.57,4.3403
38.50,0.1689,65.48,4.3635
38.60,0.2137,65.52,4.3744
38.70,0.2327,64.95,4.3444
38.80,0.2597,66.57,4.3574
38.90,0.2972,67.85,4.3414
